Pais;Anio;Sector;Tamanio;Total_activos;Facturacion;Valor_bruto_agregado;Trabajadores;Solvencia;Apalancamiento;Liquidez;EBITDA_Ingresos_netos;Beneficio_econ_ingresos_netos;EBIT_Ingresos_netos;Rotacion_activos;Salarios_VA
FR;2010;F;1;54383111;69456989;24893179;486507;310,87;210,87;76,87;7,41;4,25;5,98;127,72;82,96
FR;2010;F;2;32391677;35114061;9623540;163573;409,26;309,26;79,84;7,77;3,86;6,66;108,4;82,06
FR;2010;F;3;57893006;55449762;14468195;236335;572,45;472,45;78,98;6,03;3,66;6,33;95,78;86,89
FR;2010;G;1;86913892;161465984;30913187;595586;280,5;180,5;70,49;4,54;3,2;3,79;185,78;78,16
FR;2010;G;2;88553131;200608390;25867734;467521;294,46;194,46;75,06;3,62;2,57;2,92;226,54;74,84
FR;2010;G;3;262867868;646710606;64360526;1083660;320,76;220,76;67,03;3,54;2,23;2,67;246,02;71,72
FR;2011;C;1;60636886;80768599;27943252;544146;249,42;149,41;71,96;6,86;3,84;4,59;133,2;81,38
FR;2011;C;2;89107022;115620968;31239473;532528;242,09;142,09;66,6;6,66;3,56;4,11;129,76;78,13
FR;2011;C;3;482061159;558402595;107092936;1310242;289,16;189,16;56,6;6,99;3,02;4,34;115,84;73,82
FR;2011;F;1;57397295;73210299;25648679;488912;317,54;217,54;77,77;7,15;4,05;5,77;127,55;83,32
FR;2011;F;2;33546212;38294403;10075388;168775;473,66;373,66;81,67;5,97;3,72;5,2;114,15;82,24
FR;2011;F;3;63158994;61159557;15690444;247520;600,94;500,94;81,09;5,96;3,5;6,18;96,83;87,17
FR;2011;G;1;91432548;169736698;32372087;602889;286,05;186,05;69,73;4,62;3,26;3,87;185,64;77,66
FR;2011;G;2;93494663;213864592;27271474;471804;297,79;197,79;75,86;3,72;2,68;3,07;228,75;73,9
FR;2011;G;3;277765223;709190061;66968150;1111561;319,34;219,34;67,49;3,33;2,05;2,45;255,32;72,31
FR;2012;C;1;60682004;81035660;27810553;537355;247,63;147,63;71,32;6,43;3,32;4,04;133,54;82,73
FR;2012;C;2;89567059;114615905;30883145;529009;244,66;144,66;65,8;6,05;3,06;3,56;127,97;80,17
